scenario (-),iteration (-),cycle_id (-),ts_sent (epoch_s),ts_received (epoch_s),aoi (s),status (-)
dos_light,iteration_3,26,1780260040.509482,1780260041.564384,1.054902,Fresh
dos_light,iteration_3,27,1780260041.499223,1780260042.570241,1.071018,Fresh
dos_light,iteration_3,28,1780260042.517778,1780260043.572677,1.054899,Fresh
dos_light,iteration_3,29,1780260043.536331,1780260044.575612,1.039281,Fresh
dos_light,iteration_3,30,1780260044.579711,1780260045.578212,0.998501,Fresh
dos_light,iteration_3,31,1780260045.525151,1780260046.581146,1.055995,Fresh
dos_light,iteration_3,32,1780260046.488882,1780260047.583025,1.094143,Fresh
dos_light,iteration_3,33,1780260047.540591,1780260048.586481,1.045890,Fresh
dos_light,iteration_3,34,1780260048.503400,1780260049.593961,1.090561,Fresh
dos_light,iteration_3,35,1780260049.514061,1780260050.596029,1.081968,Fresh
dos_light,iteration_3,36,1780260050.527902,1780260051.604014,1.076112,Fresh
dos_light,iteration_3,37,1780260051.523503,,,Missing
dos_light,iteration_3,38,1780260052.554194,1780260052.614186,0.059992,Fresh
dos_light,iteration_3,39,1780260053.541298,1780260054.638178,1.096880,Fresh
dos_light,iteration_3,40,1780260054.577795,1780260055.639883,1.062088,Fresh
dos_light,iteration_3,41,1780260055.531331,1780260056.654579,1.123248,Fresh
dos_light,iteration_3,42,1780260056.547196,,,Missing
dos_light,iteration_3,43,1780260057.508982,1780260057.658551,0.149569,Fresh
dos_light,iteration_3,44,1780260058.542452,1780260058.667729,0.125277,Fresh
dos_light,iteration_3,45,1780260059.514996,1780260059.669843,0.154847,Fresh
dos_light,iteration_3,46,1780260060.637001,,,Missing
dos_light,iteration_3,47,1780260061.552737,1780260061.684721,0.131984,Fresh
dos_light,iteration_3,48,1780260062.527954,,,Missing
dos_light,iteration_3,49,1780260063.519255,1780260063.691962,0.172707,Fresh
dos_light,iteration_3,50,1780260064.506429,1780260065.729494,1.223065,Fresh
dos_light,iteration_3,51,1780260065.528311,1780260066.731388,1.203077,Fresh
dos_light,iteration_3,52,1780260066.549095,1780260067.733863,1.184768,Fresh
dos_light,iteration_3,53,1780260067.531291,1780260068.735793,1.204502,Fresh
dos_light,iteration_3,54,1780260068.526097,1780260069.741111,1.215014,Fresh
dos_light,iteration_3,55,1780260069.545568,1780260070.752625,1.207057,Fresh
dos_light,iteration_3,56,1780260070.555430,1780260071.754943,1.199513,Fresh
dos_light,iteration_3,57,1780260071.515252,1780260072.758203,1.242951,Fresh
dos_light,iteration_3,58,1780260072.594638,1780260073.562405,0.967767,Fresh
dos_light,iteration_3,59,1780260073.628063,1780260074.590114,0.962051,Fresh
dos_light,iteration_3,60,1780260074.588666,1780260075.601946,1.013280,Fresh
dos_light,iteration_3,61,1780260075.597851,1780260076.605838,1.007987,Fresh
dos_light,iteration_3,62,1780260076.581797,1780260077.607735,1.025938,Fresh
dos_light,iteration_3,63,1780260077.586983,1780260078.614791,1.027808,Fresh
dos_heavy,iteration_1,14,1780260123.431736,1780260124.245408,0.813672,Fresh
dos_heavy,iteration_1,15,1780260124.544220,1780260125.099953,0.555733,Fresh
dos_heavy,iteration_1,16,1780260125.485439,1780260126.118474,0.633035,Fresh
dos_heavy,iteration_1,17,1780260126.464337,1780260127.120419,0.656082,Fresh
dos_heavy,iteration_1,18,1780260127.484896,1780260128.126624,0.641728,Fresh
dos_heavy,iteration_1,19,1780260128.479517,1780260129.172914,0.693397,Fresh
dos_heavy,iteration_1,20,1780260129.484967,1780260130.209828,0.724861,Fresh
dos_heavy,iteration_1,21,1780260130.477608,1780260131.227077,0.749469,Fresh
dos_heavy,iteration_1,22,1780260131.514681,1780260132.285910,0.771229,Fresh
dos_heavy,iteration_1,23,1780260132.488491,1780260133.798360,1.309869,Fresh
dos_heavy,iteration_1,24,1780260133.499004,,,Missing
dos_heavy,iteration_1,25,1780260134.481545,1780260137.904252,3.422707,Stale
dos_heavy,iteration_1,26,1780260135.508673,,,Missing
dos_heavy,iteration_1,27,1780260136.540014,1780260139.874132,3.334118,Stale
dos_heavy,iteration_1,28,1780260137.476192,1780260141.621709,4.145517,Stale
dos_heavy,iteration_1,29,1780260138.491256,,,Missing
dos_heavy,iteration_1,30,1780260139.492492,,,Missing
dos_heavy,iteration_1,31,1780260140.486943,1780260142.924925,2.437982,Fresh
dos_heavy,iteration_1,32,1780260141.485967,1780260144.087082,2.601115,Fresh
dos_heavy,iteration_1,33,1780260142.502983,,,Missing
dos_heavy,iteration_1,34,1780260143.520933,1780260145.421300,1.900367,Fresh
dos_heavy,iteration_1,35,1780260144.537784,1780260147.013120,2.475336,Fresh
dos_heavy,iteration_1,36,1780260145.578777,,,Missing
dos_heavy,iteration_1,37,1780260146.537642,1780260148.352330,1.814688,Fresh
dos_heavy,iteration_1,38,1780260147.493155,1780260149.505754,2.012599,Fresh
dos_heavy,iteration_1,39,1780260148.501911,1780260150.528609,2.026698,Fresh
dos_heavy,iteration_1,40,1780260149.493160,1780260151.564301,2.071141,Fresh
dos_heavy,iteration_1,41,1780260150.545340,1780260152.571744,2.026404,Fresh
dos_heavy,iteration_1,42,1780260151.505875,1780260153.299458,1.793583,Fresh
dos_heavy,iteration_1,43,1780260152.497594,1780260154.094816,1.597222,Fresh
dos_heavy,iteration_1,44,1780260153.668573,1780260154.793391,1.124818,Fresh
dos_heavy,iteration_1,45,1780260154.539404,1780260155.404019,0.864615,Fresh
dos_heavy,iteration_1,46,1780260155.562285,1780260156.241321,0.679036,Fresh
dos_heavy,iteration_1,47,1780260156.610853,1780260157.147073,0.536220,Fresh
dos_heavy,iteration_1,48,1780260157.569257,1780260158.238132,0.668875,Fresh
dos_heavy,iteration_1,49,1780260158.556130,1780260159.284522,0.728392,Fresh
dos_heavy,iteration_1,50,1780260159.563137,1780260160.293955,0.730818,Fresh
dos_heavy,iteration_1,51,1780260160.581682,1780260161.313552,0.731870,Fresh
dos_heavy,iteration_1,52,1780260161.599603,1780260162.140303,0.540700,Fresh
dos_heavy,iteration_1,53,1780260162.681332,1780260163.179211,0.497879,Fresh
dos_heavy,iteration_1,54,1780260163.681000,1780260164.278902,0.597902,Fresh
dos_heavy,iteration_1,55,1780260164.580803,,,Missing
dos_heavy,iteration_1,56,1780260165.599588,1780260166.146288,0.546700,Fresh
dos_heavy,iteration_1,57,1780260166.592950,1780260167.264402,0.671452,Fresh
dos_heavy,iteration_1,58,1780260167.583183,1780260168.279748,0.696565,Fresh
dos_heavy,iteration_1,59,1780260168.620079,1780260169.279856,0.659777,Fresh
dos_heavy,iteration_1,60,1780260169.581585,1780260170.229201,0.647616,Fresh
dos_heavy,iteration_1,61,1780260170.591850,1780260171.228374,0.636524,Fresh
dos_heavy,iteration_1,62,1780260171.590378,1780260172.162316,0.571938,Fresh
dos_heavy,iteration_1,63,1780260172.660841,1780260173.216636,0.555795,Fresh
dos_heavy,iteration_2,14,1780260219.659324,1780260221.514673,1.855349,Fresh
dos_heavy,iteration_2,15,1780260220.655822,1780260222.019014,1.363192,Fresh
dos_heavy,iteration_2,16,1780260221.670488,1780260222.615029,0.944541,Fresh
dos_heavy,iteration_2,17,1780260222.690085,1780260223.622439,0.932354,Fresh
dos_heavy,iteration_2,18,1780260223.682410,1780260224.640117,0.957707,Fresh
dos_heavy,iteration_2,19,1780260224.688930,1780260225.658458,0.969528,Fresh
dos_heavy,iteration_2,20,1780260225.672608,1780260226.918205,1.245597,Fresh
dos_heavy,iteration_2,21,1780260226.685344,1780260227.779296,1.093952,Fresh
