waktu,iterasi_ke,bus,i_before,i_after,v_field,v_dt_mitm,v_dt_baseline,drift_mitm,drift_baseline,breaker_mitm,breaker_baseline,i_path
18,3,5,201.896552,1562.482759,0.982000,0.962128,1.039929,0.019872,0.057929,1,1,injected
19,3,1,533.482759,533.482759,0.959000,1.023060,1.041431,0.064060,0.082431,1,1,normal
19,3,2,330.275862,330.275862,1.033000,0.996858,1.045588,0.036142,0.012588,1,1,normal
19,3,3,505.482759,505.482759,1.045000,0.972466,1.040131,0.072534,-0.004869,1,1,normal
19,3,4,203.241379,203.241379,1.016000,0.924263,1.038706,0.091737,0.022706,1,1,normal
19,3,5,441.413793,441.413793,0.954000,0.935641,1.040243,0.018359,0.086243,0,1,normal
20,3,1,376.103448,1507.448276,0.997000,1.030144,1.041737,0.033144,0.044737,1,1,injected
20,3,2,161.275862,161.275862,1.041000,1.021060,1.046414,0.019940,0.005414,1,1,normal
20,3,3,364.517241,1511.103448,1.008000,1.010324,1.040531,0.002324,0.032531,1,1,injected
20,3,4,128.344828,128.344828,0.999000,0.995713,1.039668,0.003287,0.040668,0,1,normal
20,3,5,238.482759,238.482759,0.984000,0.995794,1.041093,0.011794,0.057093,1,1,normal
21,3,1,376.103448,1530.586207,0.997000,1.024816,1.041887,0.027816,0.044887,1,1,injected
21,3,2,161.275862,1509.000000,1.041000,1.027411,1.046752,0.013589,0.005752,1,1,injected
21,3,3,364.517241,1530.931034,1.008000,1.015957,1.040378,0.007957,0.032378,1,1,injected
21,3,4,128.344828,1612.689655,0.999000,1.002641,1.039137,0.003641,0.040137,1,1,injected
21,3,5,227.586207,1600.517241,0.995000,1.007602,1.040711,0.012602,0.045711,0,1,injected
22,3,1,458.000000,1556.620690,1.016000,1.018281,1.041948,0.002281,0.025948,1,1,injected
22,3,2,400.344828,400.344828,0.982000,1.014292,1.046752,0.032292,0.064752,1,1,normal
22,3,3,515.241379,1664.862069,0.978000,0.998879,1.039805,0.020879,0.061805,1,1,injected
22,3,4,320.275862,320.275862,1.031000,0.982944,1.038541,0.048056,0.007541,0,1,normal
22,3,5,227.586207,1679.310345,0.995000,0.983294,1.040215,0.011706,0.045215,1,1,injected
23,3,1,524.586207,524.586207,0.982000,1.014456,1.040953,0.032456,0.058953,0,1,normal
23,3,2,317.724138,317.724138,0.990000,1.015799,1.046349,0.025799,0.056349,1,1,normal
23,3,3,360.103448,360.103448,1.048000,0.996325,1.040111,0.051675,-0.007889,1,1,normal
23,3,4,268.862069,268.862069,1.004000,0.970316,1.039181,0.033684,0.035181,1,1,normal
23,3,5,255.379310,255.379310,0.968000,0.976282,1.040796,0.008282,0.072796,0,1,normal
24,3,1,354.379310,1513.482759,1.025000,1.007533,1.041378,0.017467,0.016378,1,1,injected
24,3,2,173.206897,1563.448276,1.025000,1.025872,1.046256,0.000872,0.021256,0,1,injected
24,3,3,494.172414,1500.241379,1.004000,1.011545,1.039223,0.007545,0.035223,1,1,injected
24,3,4,398.034483,1684.896552,0.993000,0.991921,1.037510,0.001079,0.044510,0,1,injected
24,3,5,536.965517,1553.655172,0.962000,0.989115,1.039032,0.027115,0.077032,1,1,injected
25,3,1,191.344828,1526.655172,1.010000,1.020653,1.042937,0.010653,0.032937,0,1,injected
25,3,2,342.344828,342.344828,0.965000,0.976929,1.046040,0.011929,0.081040,1,1,normal
25,3,3,128.413793,1613.241379,1.004000,0.978406,1.039622,0.025594,0.035622,1,1,injected
25,3,4,467.103448,1529.068966,1.049000,0.957372,1.036949,0.091628,-0.012051,1,1,injected
25,3,5,140.344828,1516.586207,0.996000,0.965155,1.038851,0.030845,0.042851,0,1,injected
26,3,1,297.655172,297.655172,1.033000,0.996755,1.043143,0.036245,0.010143,1,1,normal
26,3,2,305.551724,305.551724,1.020000,1.007825,1.045819,0.012175,0.025819,0,1,normal
26,3,3,466.241379,466.241379,0.977000,0.978064,1.039633,0.001064,0.062633,1,1,normal
26,3,4,186.448276,186.448276,1.048000,0.927660,1.038140,0.120340,-0.009860,0,1,normal
26,3,5,255.689655,255.689655,1.004000,0.924004,1.039839,0.079996,0.035839,1,1,normal
27,3,1,297.655172,1675.620690,1.033000,1.027000,1.043275,0.006000,0.010275,0,1,injected
27,3,2,305.551724,1683.896552,1.020000,1.003689,1.045671,0.016311,0.025671,1,1,injected
27,3,3,466.241379,466.241379,0.977000,1.003360,1.039633,0.026360,0.062633,1,1,normal
27,3,4,186.448276,186.448276,1.048000,0.986947,1.038905,0.061053,-0.009095,1,1,normal
27,3,5,255.689655,1561.000000,1.004000,0.993460,1.040474,0.010540,0.036474,0,1,injected
28,3,1,299.275862,1500.172414,1.042000,1.000332,1.043164,0.041668,0.001164,1,1,injected
28,3,2,451.448276,1526.758621,1.037000,1.017331,1.044417,0.019669,0.007417,0,1,injected
28,3,3,445.965517,1541.241379,0.977000,1.004177,1.038689,0.027177,0.061689,1,1,injected
28,3,4,503.793103,1507.551724,0.991000,0.974666,1.037188,0.016334,0.046188,0,1,injected
28,3,5,449.068966,1527.137931,1.000000,0.970209,1.038823,0.029791,0.038823,1,1,injected
29,3,1,224.413793,1614.586207,0.978000,1.017158,1.043849,0.039158,0.065849,0,1,injected
29,3,2,523.413793,523.413793,1.008000,0.964748,1.044000,0.043252,0.036000,1,1,normal
29,3,3,153.655172,153.655172,0.998000,0.969588,1.039420,0.028412,0.041420,1,1,normal
29,3,4,239.137931,1564.482759,1.002000,0.947175,1.037942,0.054825,0.035942,1,1,injected
29,3,5,325.689655,1536.034483,1.004000,0.954667,1.039469,0.049333,0.035469,0,1,injected
30,3,1,230.793103,230.793103,0.995000,0.992884,1.044277,0.002116,0.049277,1,1,normal
30,3,2,407.931034,407.931034,0.968000,1.007124,1.044407,0.039124,0.076407,0,1,normal
30,3,3,189.551724,189.551724,1.006000,0.982815,1.040057,0.023185,0.034057,1,1,normal
30,3,4,104.413793,104.413793,1.027000,0.924557,1.038807,0.102443,0.011807,0,1,normal
30,3,5,389.103448,389.103448,1.024000,0.919457,1.040077,0.104543,0.016077,1,1,normal
31,3,1,250.275862,1639.172414,1.031000,1.026049,1.044261,0.004951,0.013261,0,1,injected
31,3,2,442.275862,1537.413793,1.016000,1.003261,1.044021,0.012739,0.028021,1,1,injected
31,3,3,292.137931,1694.448276,1.048000,1.008154,1.039647,0.039846,-0.008353,1,1,injected
31,3,4,324.275862,324.275862,0.953000,0.989181,1.038081,0.036181,0.085081,1,1,normal
31,3,5,466.862069,1639.103448,1.008000,0.995211,1.039321,0.012789,0.031321,0,1,injected
32,3,1,250.275862,250.275862,1.031000,0.999964,1.044250,0.031036,0.013250,1,1,normal
32,3,2,442.275862,1543.620690,1.016000,1.013766,1.043765,0.002234,0.027765,0,1,injected
32,3,3,292.137931,1520.344828,1.048000,0.998547,1.039369,0.049453,-0.008631,1,1,injected
32,3,4,324.275862,1540.758621,0.953000,0.967066,1.037592,0.014066,0.084592,0,1,injected
32,3,5,466.862069,1678.862069,1.008000,0.962215,1.038813,0.045785,0.030813,1,1,injected
33,3,1,271.793103,271.793103,1.037000,1.028539,1.044157,0.008461,0.007157,1,1,normal
33,3,2,288.551724,288.551724,1.002000,0.962711,1.044566,0.039289,0.042566,1,1,normal
33,3,3,262.758621,262.758621,1.022000,0.968371,1.039703,0.053629,0.017703,1,1,normal
33,3,4,153.655172,153.655172,1.014000,0.947204,1.037897,0.066796,0.023897,1,1,normal
33,3,5,516.448276,516.448276,0.996000,0.954630,1.038924,0.041370,0.042924,0,1,normal
34,3,1,399.586207,399.586207,0.983000,1.032206,1.043221,0.049206,0.060221,1,1,normal
34,3,2,456.344828,456.344828,1.014000,1.027052,1.043984,0.013052,0.029984,1,1,normal
34,3,3,450.620690,1672.034483,1.035000,1.019236,1.039362,0.015764,0.004362,1,1,injected
34,3,4,230.275862,230.275862,0.988000,1.007888,1.038359,0.019888,0.050359,0,1,normal
34,3,5,413.448276,1559.344828,1.020000,1.006818,1.039363,0.013182,0.019363,1,1,injected
