iterasi_ke,waktu,n_bus,avg_i_before,avg_i_after,avg_v_field,avg_v_dt_mitm,avg_v_dt_baseline,avg_drift_mitm,avg_drift_baseline,avg_breaker_mitm,avg_breaker_baseline,share_injected
3,21,5,251.565517,1556.744827,1.008000,1.015685,1.041773,0.013121,0.033773,0.800000,1.000000,1.000000
3,22,5,384.289655,1124.282759,1.000400,0.999538,1.041452,0.023043,0.041052,0.800000,1.000000,0.600000
3,23,5,345.331034,345.331034,0.998400,0.994636,1.041478,0.030379,0.043078,0.600000,1.000000,0.000000
3,24,5,391.351724,1563.144828,1.001800,1.005197,1.040680,0.010816,0.038880,0.600000,1.000000,1.000000
3,25,5,253.910345,1305.579310,1.004800,0.979703,1.040880,0.034130,0.036080,0.600000,1.000000,0.800000
3,26,5,302.317241,302.317241,1.016400,0.966862,1.041315,0.049964,0.024915,0.600000,1.000000,0.000000
3,27,5,302.317241,1114.641379,1.016400,1.002891,1.041592,0.024053,0.025192,0.600000,1.000000,0.600000
3,28,5,429.910345,1520.572414,1.009400,0.993343,1.040456,0.026928,0.031056,0.600000,1.000000,1.000000
3,29,5,293.262069,1078.434483,0.998000,0.970667,1.040936,0.042996,0.042936,0.600000,1.000000,0.600000
3,30,5,264.358620,264.358620,1.004000,0.965367,1.041525,0.054282,0.037525,0.600000,1.000000,0.000000
3,31,5,355.165517,1366.882759,1.011200,1.004371,1.041066,0.021301,0.029866,0.600000,1.000000,0.800000
3,32,5,355.165517,1306.772414,1.011200,0.988312,1.040758,0.028515,0.029558,0.600000,1.000000,0.800000
3,33,5,298.641379,298.641379,1.014200,0.972291,1.041049,0.041909,0.026849,0.800000,1.000000,0.000000
3,34,5,390.055173,863.517242,1.008000,1.018640,1.040858,0.022218,0.032858,0.800000,1.000000,0.400000
