Waktu;iterasi_ke;bus;i_before;i_after;v_field;v_dt_mitm;v_dt_baseline;breaker_mitm;breaker_baseline;;;
4;2;4;364.793103;1559.413793;0.990000;0.995692;1.036195;0;1;;;
4;2;5;515.379310;1669.655172;0.965000;0.996670;1.037570;1;1;;;
5;2;1;499.758621;1664.206897;1.036000;1.033647;1.044831;1;1;;;
5;2;2;461.862069;461.862069;1.031000;1.012789;1.046242;1;1;;;
5;2;3;433.000000;1655.275862;0.952000;0.997961;1.038452;1;1;;;
5;2;4;506.482759;1595.448276;0.983000;0.962206;1.035397;1;1;;;
5;2;5;454.827586;1527.068966;1.030000;0.971456;1.036772;0;1;;;
6;2;1;199.379310;199.379310;1.031000;1.023628;1.042673;1;1;;;
6;2;2;131.862069;131.862069;1.028000;1.013571;1.044809;1;1;;;
6;2;3;449.448276;449.448276;1.037000;0.993999;1.038199;1;1;;;
6;2;4;460.448276;460.448276;0.972000;0.966366;1.035177;0;1;;;
6;2;5;223.344828;223.344828;0.996000;0.966521;1.036648;1;1;;;
7;2;1;182.896552;1633.896552;1.029000;1.031902;1.043714;1;1;;;
7;2;2;181.758621;181.758621;0.952000;1.028085;1.045604;1;1;;;
7;2;3;476.896552;1606.931034;0.982000;1.014416;1.038184;1;1;;;
7;2;4;201.586207;201.586207;1.046000;0.986052;1.035234;1;1;;;
7;2;5;260.344828;1697.689655;1.014000;0.993838;1.036983;0;1;;;
8;2;1;182.896552;182.896552;1.029000;1.023810;1.043714;1;1;;;
8;2;2;181.758621;1521.000000;0.952000;1.029850;1.045604;1;1;;;
8;2;3;476.896552;1518.379310;0.982000;1.014835;1.038184;1;1;;;
8;2;4;201.586207;201.586207;1.046000;1.000085;1.035234;0;1;;;
8;2;5;260.344828;260.344828;1.014000;0.998738;1.036983;1;1;;;
9;2;1;309.310345;1675.827586;1.048000;1.031145;1.043585;1;1;;;
9;2;2;133.000000;1668.655172;1.043000;1.026125;1.046697;1;1;;;
9;2;3;159.206897;1697.758621;1.047000;1.015214;1.039533;1;1;;;
9;2;4;195.896552;1646.344828;1.046000;1.004603;1.036698;1;1;;;
9;2;5;290.827586;1595.482759;0.960000;1.008641;1.038332;1;1;;;
10;2;1;221.137931;221.137931;1.022000;1.021440;1.044061;1;1;;;
10;2;2;310.000000;310.000000;1.010000;1.011518;1.046014;1;1;;;
10;2;3;345.965517;345.965517;0.988000;0.996123;1.039028;1;1;;;
10;2;4;410.275862;410.275862;0.975000;0.989069;1.035856;1;1;;;
10;2;5;521.655172;521.655172;0.950000;0.991244;1.037426;1;1;;;
11;2;1;403.344828;1636.310345;1.002000;1.030639;1.044367;1;1;;;
11;2;2;374.344828;374.344828;1.024000;1.026945;1.045562;1;1;;;
11;2;3;120.517241;1606.551724;0.986000;1.017911;1.038685;1;1;;;
11;2;4;229.689655;1652.586207;1.016000;1.013908;1.035289;1;1;;;
11;2;5;470.275862;1548.482759;0.981000;1.015538;1.036819;1;1;;;
12;2;1;215.586207;1644.344828;1.020000;1.022707;1.043314;1;1;;;
12;2;2;273.103448;273.103448;0.980000;1.023407;1.045454;1;1;;;
12;2;3;220.413793;1661.482759;0.990000;1.007102;1.039678;1;1;;;
12;2;4;283.793103;1696.206897;0.962000;0.995960;1.036470;1;1;;;
12;2;5;370.034483;1516.793103;1.044000;0.998402;1.037809;1;1;;;
13;2;1;215.586207;215.586207;1.020000;1.016804;1.044002;1;1;;;
13;2;2;273.103448;273.103448;0.980000;1.020815;1.045764;1;1;;;
13;2;3;220.413793;220.413793;0.990000;0.998532;1.039866;1;1;;;
13;2;4;283.793103;283.793103;0.962000;0.982012;1.036718;0;1;;;
13;2;5;370.034483;370.034483;1.044000;0.984966;1.038067;1;1;;;
14;2;1;345.206897;1570.206897;1.040000;1.026601;1.043423;1;1;;;
14;2;2;336.068966;1636.103448;0.980000;1.031559;1.045703;1;1;;;
14;2;3;225.689655;1552.827586;0.950000;1.016620;1.040144;1;1;;;
14;2;4;345.896552;1508.344828;0.992000;0.988816;1.037129;1;1;;;
14;2;5;288.379310;1588.103448;1.014000;0.995974;1.038609;0;1;;;
15;2;1;183.241379;1536.344828;0.994000;1.018667;1.043045;1;1;;;
15;2;2;486.241379;1633.241379;0.997000;1.017770;1.045662;1;1;;;
15;2;3;158.103448;1670.620690;1.029000;1.001217;1.040322;1;1;;;
15;2;4;328.724138;1584.586207;0.958000;0.978122;1.037394;0;1;;;
15;2;5;232.586207;232.586207;1.012000;0.978019;1.038959;1;1;;;
16;2;1;405.931034;1629.103448;1.031000;1.013977;1.044058;1;1;;;
16;2;2;183.827586;1657.448276;1.016000;1.006071;1.044969;1;1;;;
16;2;3;101.896552;1563.862069;0.969000;0.986153;1.040369;1;1;;;
16;2;4;305.103448;1682.896552;0.974000;0.950108;1.037763;1;1;;;
16;2;5;116.068966;1589.068966;1.034000;0.960445;1.039410;0;1;;;
17;2;1;368.551724;368.551724;0.991000;1.009091;1.043119;0;1;;;
17;2;2;407.172414;407.172414;0.969000;0.996222;1.046150;1;1;;;
17;2;3;195.620690;195.620690;0.999000;0.973242;1.041194;1;1;;;
17;2;4;89.103448;89.103448;1.014000;0.944912;1.038461;0;1;;;
17;2;5;416.724138;416.724138;1.025000;0.946705;1.040247;1;1;;;
18;2;1;368.551724;1578.103448;0.991000;1.007010;1.042816;1;1;;;
18;2;2;407.172414;1642.137931;0.969000;1.013908;1.045830;0;1;;;
18;2;3;195.620690;1542.931034;0.999000;0.997447;1.041377;1;1;;;
18;2;4;473.551724;1627.379310;0.974000;0.956869;1.039408;1;1;;;
18;2;5;442.931034;1511.793103;0.995000;0.964399;1.040787;0;1;;;
19;2;1;286.551724;1564.827586;0.960000;1.020620;1.043153;0;1;;;
19;2;2;527.034483;527.034483;0.967000;0.965394;1.044788;1;1;;;
19;2;3;109.965517;1661.758621;1.000000;0.970919;1.040765;1;1;;;
19;2;4;473.551724;1529.965517;0.974000;0.961552;1.037820;0;1;;;
19;2;5;442.931034;442.931034;0.995000;0.963141;1.039323;1;1;;;
20;2;1;514.482759;514.482759;1.016000;0.996941;1.043368;1;1;;;
20;2;2;501.655172;501.655172;1.008000;1.001992;1.044089;0;1;;;
20;2;3;344.379310;344.379310;1.039000;0.972271;1.040330;1;1;;;
20;2;4;303.689655;303.689655;1.020000;0.909745;1.036735;1;1;;;
20;2;5;318.793103;318.793103;1.033000;0.920724;1.038320;0;1;;;
21;2;1;399.689655;1510.000000;1.039000;1.025810;1.041739;0;1;;;
21;2;2;202.724138;202.724138;0.997000;0.998442;1.043587;1;1;;;
21;2;3;378.448276;1506.689655;0.974000;1.002798;1.040137;1;1;;;
21;2;4;309.413793;309.413793;1.026000;1.000066;1.037694;0;1;;;
21;2;5;206.379310;1594.344828;1.012000;1.001825;1.039208;1;1;;;
22;2;1;223.344828;1688.448276;0.957000;1.000699;1.041594;1;1;;;
22;2;2;234.206897;234.206897;0.977000;1.020070;1.044818;0;1;;;
22;2;3;148.413793;1614.620690;1.004000;0.998732;1.040253;1;1;;;
22;2;4;404.551724;404.551724;0.973000;0.959982;1.038160;1;1;;;
22;2;5;114.000000;1682.103448;1.020000;0.965693;1.039780;0;1;;;
23;2;1;330.068966;330.068966;0.990000;1.017007;1.042982;0;1;;;
23;2;2;180.655172;180.655172;0.991000;1.004476;1.045679;1;1;;;
23;2;3;490.448276;490.448276;0.992000;0.999905;1.040547;1;1;;;
23;2;4;391.068966;391.068966;1.008000;0.993209;1.037904;0;1;;;
23;2;5;410.586207;410.586207;1.035000;0.991909;1.039795;1;1;;;
24;2;1;91.758621;91.758621;0.988000;1.008970;1.042986;1;1;;;
24;2;2;426.206897;1578.000000;0.985000;1.029406;1.045886;0;1;;;
24;2;3;490.586207;490.586207;1.035000;1.011797;1.039625;1;1;;;
24;2;4;420.655172;1503.896552;0.991000;0.984830;1.036932;1;1;;;
24;2;5;352.103448;1551.965517;1.004000;0.988867;1.038711;0;1;;;
25;2;1;91.758621;1646.620690;0.988000;1.033975;1.042986;1;1;;;
25;2;2;426.206897;1518.206897;0.985000;0.998467;1.046009;1;1;;;
25;2;3;490.586207;490.586207;1.035000;1.002633;1.039003;1;1;;;
25;2;4;420.655172;1656.344828;0.991000;0.993693;1.036274;0;1;;;
25;2;5;352.103448;352.103448;1.004000;0.993311;1.037981;1;1;;;
26;2;1;190.000000;1514.724138;0.972000;1.022874;1.044633;1;1;;;
26;2;2;101.482759;1620.793103;0.993000;1.018925;1.044872;1;1;;;
26;2;3;393.586207;1531.413793;0.983000;1.008228;1.038123;1;1;;;
26;2;4;162.310345;1627.724138;0.990000;0.974447;1.035791;1;1;;;
26;2;5;144.724138;1592.896552;0.996000;0.983482;1.037535;0;1;;;
27;2;1;98.724138;98.724138;1.012000;1.017417;1.045226;1;1;;;
27;2;2;340.206897;340.206897;0.989000;1.008173;1.046196;1;1;;;
27;2;3;389.551724;389.551724;0.952000;0.993354;1.038967;1;1;;;
27;2;4;302.413793;302.413793;0.963000;0.967159;1.037387;0;1;;;
27;2;5;267.034483;267.034483;0.955000;0.967972;1.039085;1;1;;;
28;2;1;238.896552;1679.344828;0.971000;1.029091;1.046087;1;1;;;
28;2;2;248.517241;1591.344828;1.026000;1.024803;1.045738;1;1;;;
28;2;3;443.275862;1624.862069;1.025000;1.015761;1.038900;1;1;;;
28;2;4;127.275862;1694.758621;0.975000;0.990247;1.037450;1;1;;;
28;2;5;342.068966;1516.379310;0.951000;0.997598;1.039153;0;1;;;
29;2;1;230.655172;1522.000000;1.049000;1.020264;1.045753;1;1;;;
29;2;2;425.724138;1522.241379;1.014000;1.011766;1.045886;1;1;;;
29;2;3;413.931034;1539.172414;1.014000;0.998035;1.039123;1;1;;;
29;2;4;168.275862;1675.103448;1.044000;0.976886;1.038404;0;1;;;
29;2;5;163.000000;1653.931034;0.952000;0.977696;1.039862;1;1;;;
30;2;1;230.655172;230.655172;1.049000;1.012562;1.045536;1;1;;;
30;2;2;425.724138;425.724138;1.014000;0.995573;1.045981;1;1;;;
30;2;3;413.931034;413.931034;1.014000;0.970397;1.039264;1;1;;;
30;2;4;168.275862;168.275862;1.044000;0.919882;1.039020;1;1;;;
30;2;5;163.000000;163.000000;0.952000;0.931711;1.040319;0;1;;;
31;2;1;397.758621;397.758621;0.962000;1.026383;1.045291;1;1;;;
31;2;2;182.896552;1596.896552;1.006000;1.022078;1.045310;1;1;;;
31;2;3;417.482759;1612.655172;1.018000;1.012895;1.039498;1;1;;;
31;2;4;367.689655;1646.275862;0.966000;0.999435;1.039928;0;1;;;
31;2;5;135.137931;1589.620690;1.024000;1.000072;1.041295;1;1;;;
32;2;1;497.034483;1597.413793;1.031000;1.028411;1.044161;1;1;;;
32;2;2;103.413793;103.413793;0.960000;1.009527;1.045925;1;1;;;
32;2;3;393.758621;1657.758621;0.981000;0.992645;1.039623;1;1;;;
32;2;4;251.241379;1576.482759;1.045000;0.955939;1.039484;1;1;;;
32;2;5;118.965517;118.965517;1.020000;0.965542;1.041109;0;1;;;
33;2;1;357.482759;1668.655172;1.018000;1.022186;1.042520;1;1;;;
33;2;2;446.000000;446.000000;0.960000;1.018791;1.046893;1;1;;;
33;2;3;340.551724;340.551724;1.035000;1.001508;1.040224;1;1;;;
33;2;4;541.862069;541.862069;0.962000;0.982376;1.039895;0;1;;;
33;2;5;234.344828;234.344828;1.028000;0.984489;1.041601;1;1;;;
34;2;1;253.068966;253.068966;0.992000;1.017335;1.042354;1;1;;;
34;2;2;238.206897;238.206897;1.000000;1.025607;1.045668;1;1;;;
34;2;3;435.000000;435.000000;1.034000;1.013029;1.039689;1;1;;;
34;2;4;532.172414;532.172414;0.960000;0.987433;1.038505;1;1;;;
34;2;5;446.965517;446.965517;1.012000;0.995679;1.040422;0;1;;;
1;3;1;274.137931;1564.827586;1.020000;1.018842;1.043006;1;1;;;
1;3;2;501.517241;1560.172414;1.022000;1.020247;1.044936;1;1;;;
1;3;3;454.448276;454.448276;0.977000;1.008984;1.038446;1;1;;;
1;3;4;299.827586;1658.448276;1.002000;0.973845;1.035786;1;1;;;
1;3;5;412.655172;1578.275862;0.993000;0.982902;1.037786;0;1;;;
2;3;1;474.137931;474.137931;0.976000;1.013926;1.043264;0;1;;;
2;3;2;122.172414;122.172414;1.033000;1.012525;1.043916;1;1;;;
2;3;3;188.275862;188.275862;1.038000;1.001420;1.038269;1;1;;;
2;3;4;358.103448;358.103448;0.996000;0.972037;1.036421;0;1;;;
2;3;5;101.931034;101.931034;0.987000;0.972480;1.038156;1;1;;;
3;3;1;162.448276;1593.655172;1.035000;1.008249;1.042287;1;1;;;
3;3;2;452.448276;1525.620690;0.971000;1.022771;1.045656;0;1;;;
3;3;3;483.448276;1618.206897;0.984000;1.009969;1.039691;1;1;;;
3;3;4;205.586207;1568.931034;1.020000;0.967802;1.037468;1;1;;;
3;3;5;531.620690;1547.931034;0.951000;0.975629;1.039377;0;1;;;
4;3;1;422.689655;1522.482759;0.958000;1.008249;1.043640;1;1;;;
