scenario (-),iteration (-),cycle_id (-),bus (-),v_field (pu),v_dt (pu),drift_signed (pu),drift_abs (pu),drift (%)
baseline,iteration_1,64,3,1.008601,1.008595,-0.000006,0.000006,0.000595
baseline,iteration_1,64,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_1,64,5,1.006842,1.006846,0.000004,0.000004,0.000397
baseline,iteration_1,65,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_1,65,2,1.010836,1.010828,-0.000008,0.000008,0.000791
baseline,iteration_1,65,3,1.008765,1.008755,-0.000010,0.000010,0.000991
baseline,iteration_1,65,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_1,65,5,1.007024,1.007037,0.000013,0.000013,0.001291
baseline,iteration_1,66,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_1,66,2,1.010806,1.010800,-0.000006,0.000006,0.000594
baseline,iteration_1,66,3,1.009175,1.009167,-0.000008,0.000008,0.000793
baseline,iteration_1,66,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_1,66,5,1.007050,1.007066,0.000016,0.000016,0.001589
baseline,iteration_1,67,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_1,67,2,1.010442,1.010439,-0.000003,0.000003,0.000297
baseline,iteration_1,67,3,1.008910,1.008909,-0.000001,0.000001,0.000099
baseline,iteration_1,67,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_1,67,5,1.007041,1.007043,0.000002,0.000002,0.000199
baseline,iteration_1,68,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_1,68,2,1.010615,1.010619,0.000004,0.000004,0.000396
baseline,iteration_1,68,3,1.008759,1.008763,0.000004,0.000004,0.000397
baseline,iteration_1,68,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_1,68,5,1.006833,1.006843,0.000010,0.000010,0.000993
baseline,iteration_1,69,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_1,69,2,1.010585,1.010596,0.000011,0.000011,0.001088
baseline,iteration_1,69,3,1.008496,1.008514,0.000018,0.000018,0.001785
baseline,iteration_1,69,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_1,69,5,1.007183,1.007208,0.000025,0.000025,0.002482
baseline,iteration_1,70,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_1,70,2,1.010233,1.010199,-0.000034,0.000034,0.003366
baseline,iteration_1,70,3,1.008603,1.008570,-0.000033,0.000033,0.003272
baseline,iteration_1,70,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_1,70,5,1.006759,1.006750,-0.000009,0.000009,0.000894
baseline,iteration_1,71,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_1,71,2,1.010823,1.010829,0.000006,0.000006,0.000594
baseline,iteration_1,71,3,1.009137,1.009148,0.000011,0.000011,0.001090
baseline,iteration_1,71,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_1,71,5,1.006585,1.006588,0.000003,0.000003,0.000298
baseline,iteration_1,72,1,1.020000,1.020000,0.000000,0.000000,0.000000
