scenario (-),iteration (-),cmd_id (-),origin_cycle (-),bus (-),field_breaker_actual (-),dt_breaker_cmd (-),false_control_action (-)
baseline,iteration_2,28,31,2,1,1,0
baseline,iteration_2,28,31,3,1,1,0
baseline,iteration_2,28,31,4,1,1,0
baseline,iteration_2,28,31,5,1,1,0
baseline,iteration_2,29,32,1,1,1,0
baseline,iteration_2,29,32,2,1,1,0
baseline,iteration_2,29,32,3,1,1,0
baseline,iteration_2,29,32,4,1,1,0
baseline,iteration_2,29,32,5,1,1,0
baseline,iteration_2,30,33,1,1,1,0
baseline,iteration_2,30,33,2,1,1,0
baseline,iteration_2,30,33,3,1,1,0
baseline,iteration_2,30,33,4,1,1,0
baseline,iteration_2,30,33,5,1,1,0
baseline,iteration_2,31,34,1,1,1,0
baseline,iteration_2,31,34,2,1,1,0
baseline,iteration_2,31,34,3,1,1,0
baseline,iteration_2,31,34,4,1,1,0
baseline,iteration_2,31,34,5,1,1,0
baseline,iteration_2,32,35,1,1,1,0
baseline,iteration_2,32,35,2,1,1,0
baseline,iteration_2,32,35,3,1,1,0
baseline,iteration_2,32,35,4,1,1,0
baseline,iteration_2,32,35,5,1,1,0
baseline,iteration_2,33,36,1,1,1,0
baseline,iteration_2,33,36,2,1,1,0
baseline,iteration_2,33,36,3,1,1,0
baseline,iteration_2,33,36,4,1,1,0
baseline,iteration_2,33,36,5,1,1,0
baseline,iteration_2,34,37,1,1,1,0
baseline,iteration_2,34,37,2,1,1,0
baseline,iteration_2,34,37,3,1,1,0
baseline,iteration_2,34,37,4,1,1,0
baseline,iteration_2,34,37,5,1,1,0
baseline,iteration_2,35,38,1,1,1,0
baseline,iteration_2,35,38,2,1,1,0
baseline,iteration_2,35,38,3,1,1,0
baseline,iteration_2,35,38,4,1,1,0
baseline,iteration_2,35,38,5,1,1,0
baseline,iteration_2,36,39,1,1,1,0
baseline,iteration_2,36,39,2,1,1,0
baseline,iteration_2,36,39,3,1,1,0
baseline,iteration_2,36,39,4,1,1,0
baseline,iteration_2,36,39,5,1,1,0
baseline,iteration_2,37,40,1,1,1,0
baseline,iteration_2,37,40,2,1,1,0
baseline,iteration_2,37,40,3,1,1,0
baseline,iteration_2,37,40,4,1,1,0
baseline,iteration_2,37,40,5,1,1,0
baseline,iteration_2,38,41,1,1,1,0
baseline,iteration_2,38,41,2,1,1,0
baseline,iteration_2,38,41,3,1,1,0
baseline,iteration_2,38,41,4,1,1,0
baseline,iteration_2,38,41,5,1,1,0
baseline,iteration_2,39,43,1,1,1,0
baseline,iteration_2,39,43,2,1,1,0
baseline,iteration_2,39,43,3,1,1,0
baseline,iteration_2,39,43,4,1,1,0
baseline,iteration_2,39,43,5,1,1,0
baseline,iteration_2,40,44,1,1,1,0
baseline,iteration_2,40,44,2,1,1,0
baseline,iteration_2,40,44,3,1,1,0
baseline,iteration_2,40,44,4,1,1,0
baseline,iteration_2,40,44,5,1,1,0
baseline,iteration_2,41,45,1,1,1,0
baseline,iteration_2,41,45,2,1,1,0
baseline,iteration_2,41,45,3,1,1,0
baseline,iteration_2,41,45,4,1,1,0
baseline,iteration_2,41,45,5,1,1,0
baseline,iteration_2,42,46,1,1,1,0
baseline,iteration_2,42,46,2,1,1,0
baseline,iteration_2,42,46,3,1,1,0
baseline,iteration_2,42,46,4,1,1,0
baseline,iteration_2,42,46,5,1,1,0
baseline,iteration_2,43,47,1,1,1,0
baseline,iteration_2,43,47,2,1,1,0
baseline,iteration_2,43,47,3,1,1,0
baseline,iteration_2,43,47,4,1,1,0
baseline,iteration_2,43,47,5,1,1,0
baseline,iteration_2,44,48,1,1,1,0
baseline,iteration_2,44,48,2,1,1,0
baseline,iteration_2,44,48,3,1,1,0
baseline,iteration_2,44,48,4,1,1,0
baseline,iteration_2,44,48,5,1,1,0
baseline,iteration_2,45,49,1,1,1,0
baseline,iteration_2,45,49,2,1,1,0
baseline,iteration_2,45,49,3,1,1,0
baseline,iteration_2,45,49,4,1,1,0
baseline,iteration_2,45,49,5,1,1,0
baseline,iteration_2,46,50,1,1,1,0
baseline,iteration_2,46,50,2,1,1,0
baseline,iteration_2,46,50,3,1,1,0
baseline,iteration_2,46,50,4,1,1,0
baseline,iteration_2,46,50,5,1,1,0
baseline,iteration_2,47,51,1,1,1,0
baseline,iteration_2,47,51,2,1,1,0
baseline,iteration_2,47,51,3,1,1,0
baseline,iteration_2,47,51,4,1,1,0
baseline,iteration_2,47,51,5,1,1,0
baseline,iteration_2,48,52,1,1,1,0
baseline,iteration_2,48,52,2,1,1,0
baseline,iteration_2,48,52,3,1,1,0
baseline,iteration_2,48,52,4,1,1,0
baseline,iteration_2,48,52,5,1,1,0
baseline,iteration_2,49,53,1,1,1,0
baseline,iteration_2,49,53,2,1,1,0
baseline,iteration_2,49,53,3,1,1,0
baseline,iteration_2,49,53,4,1,1,0
baseline,iteration_2,49,53,5,1,1,0
baseline,iteration_2,50,54,1,1,1,0
baseline,iteration_2,50,54,2,1,1,0
baseline,iteration_2,50,54,3,1,1,0
baseline,iteration_2,50,54,4,1,1,0
baseline,iteration_2,50,54,5,1,1,0
baseline,iteration_2,51,55,1,1,1,0
baseline,iteration_2,51,55,2,1,1,0
baseline,iteration_2,51,55,3,1,1,0
baseline,iteration_2,51,55,4,1,1,0
baseline,iteration_2,51,55,5,1,1,0
baseline,iteration_2,52,56,1,1,1,0
baseline,iteration_2,52,56,2,1,1,0
baseline,iteration_2,52,56,3,1,1,0
baseline,iteration_2,52,56,4,1,1,0
baseline,iteration_2,52,56,5,1,1,0
baseline,iteration_2,53,57,1,1,1,0
baseline,iteration_2,53,57,2,1,1,0
baseline,iteration_2,53,57,3,1,1,0
baseline,iteration_2,53,57,4,1,1,0
baseline,iteration_2,53,57,5,1,1,0
baseline,iteration_2,54,58,1,1,1,0
baseline,iteration_2,54,58,2,1,1,0
baseline,iteration_2,54,58,3,1,1,0
baseline,iteration_2,54,58,4,1,1,0
baseline,iteration_2,54,58,5,1,1,0
baseline,iteration_2,55,59,1,1,1,0
baseline,iteration_2,55,59,2,1,1,0
baseline,iteration_2,55,59,3,1,1,0
baseline,iteration_2,55,59,4,1,1,0
baseline,iteration_2,55,59,5,1,1,0
baseline,iteration_2,56,60,1,1,1,0
baseline,iteration_2,56,60,2,1,1,0
baseline,iteration_2,56,60,3,1,1,0
baseline,iteration_2,56,60,4,1,1,0
baseline,iteration_2,56,60,5,1,1,0
baseline,iteration_2,57,62,1,1,1,0
baseline,iteration_2,57,62,2,1,1,0
