Memulai Server OPC UA
Endpoints other than open requested but private key and certificate are not set.
Listening on 10.0.2.2:4840


Memulai Modbus Gateway di 0.0.0.0:5020[2026-05-19 14:30:54] [iter 1] [Bus 1] P/Q/CMD -> V_in=0.0000 pu, I_in=0.0000 A, PF=0.0000, V_out=0.0000 pu, I_out=0.0000 A, V_DT=1.0000 pu, P=0.0000 MW, Q=0.0000 MVar
[2026-05-19 14:31:27] [iter 9] [Bus 5] P/Q/CMD -> V_in=1.0110 pu, I_in=722.4000 A, PF=0.9562, V_out=1.0110 pu, I_out=722.4000 A, V_DT=1.0070 pu, P=133.0549 MW, Q=40.7311 MVar


[2026-05-19 14:31:31] [iter 10] [Bus 1] P/Q/CMD -> V_in=1.0200 pu, I_in=834.0000 A, PF=0.9653, V_out=1.0200 pu, I_out=834.0000 A, V_DT=1.0200 pu, P=156.4523 MW, Q=42.3252 MVar
[2026-05-19 14:31:31] [iter 10] [Bus 2] P/Q/CMD -> V_in=1.0030 pu, I_in=637.8000 A, PF=0.9005, V_out=1.0030 pu, I_out=637.8000 A, V_DT=1.0051 pu, P=109.7545 MW, Q=53.0010 MVar
[2026-05-19 14:31:31] [iter 10] [Bus 3] P/Q/CMD -> V_in=1.0080 pu, I_in=696.6000 A, PF=0.9428, V_out=1.0080 pu, I_out=696.6000 A, V_DT=1.0022 pu, P=126.1296 MW, Q=44.5974 MVar
[2026-05-19 14:31:31] [iter 10] [Bus 4] P/Q/CMD -> V_in=1.0060 pu, I_in=755.8000 A, PF=0.8274, V_out=1.0060 pu, I_out=755.8000 A, V_DT=1.0100 pu, P=119.8598 MW, Q=81.3571 MVar
[2026-05-19 14:31:31] [iter 10] [Bus 5] P/Q/CMD -> V_in=1.0110 pu, I_in=722.4000 A, PF=0.9562, V_out=1.0110 pu, I_out=722.4000 A, V_DT=1.0070 pu, P=133.0549 MW, Q=40.7311 MVar


[2026-05-19 14:31:35] [iter 11] [Bus 1] P/Q/CMD -> V_in=1.0200 pu, I_in=834.0000 A, PF=0.9653, V_out=1.0200 pu, I_out=834.0000 A, V_DT=1.0200 pu, P=156.4523 MW, Q=42.3252 MVar
[2026-05-19 14:31:35] [iter 11] [Bus 2] P/Q/CMD -> V_in=1.0140 pu, I_in=442.3667 A, PF=0.9269, V_out=1.0140 pu, I_out=442.3667 A, V_DT=1.0051 pu, P=79.2148 MW, Q=32.0747 MVar
[2026-05-19 14:31:35] [iter 11] [Bus 3] P/Q/CMD -> V_in=1.0080 pu, I_in=368.9667 A, PF=0.8887, V_out=1.0080 pu, I_out=368.9667 A, V_DT=1.0022 pu, P=62.9733 MW, Q=32.4885 MVar
[2026-05-19 14:31:35] [iter 11] [Bus 4] P/Q/CMD -> V_in=1.0050 pu, I_in=483.9000 A, PF=0.8625, V_out=1.0050 pu, I_out=483.9000 A, V_DT=1.0100 pu, P=79.9161 MW, Q=46.8894 MVar
[2026-05-19 14:31:35] [iter 11] [Bus 5] P/Q/CMD -> V_in=1.0100 pu, I_in=500.3333 A, PF=0.9741, V_out=1.0100 pu, I_out=500.3333 A, V_DT=1.0070 pu, P=93.7859 MW, Q=21.7705 MVar


[2026-05-19 14:31:39] [iter 12] [Bus 1] P/Q/CMD -> V_in=1.0140 pu, I_in=1248.6000 A, PF=0.9653, V_out=1.0140 pu, I_out=1248.6000 A, V_DT=1.0200 pu, P=232.8504 MW, Q=62.9932 MVar
[2026-05-19 14:31:39] [iter 12] [Bus 2] P/Q/CMD -> V_in=1.0120 pu, I_in=438.7333 A, PF=0.9269, V_out=1.0120 pu, I_out=438.7333 A, V_DT=1.0096 pu, P=78.4093 MW, Q=31.7485 MVar
[2026-05-19 14:31:39] [iter 12] [Bus 3] P/Q/CMD -> V_in=1.0060 pu, I_in=554.5000 A, PF=0.8887, V_out=1.0060 pu, I_out=554.5000 A, V_DT=1.0071 pu, P=94.4513 MW, Q=48.7284 MVar
[2026-05-19 14:31:39] [iter 12] [Bus 4] P/Q/CMD -> V_in=1.0060 pu, I_in=484.4000 A, PF=0.8625, V_out=1.0060 pu, I_out=484.4000 A, V_DT=1.0100 pu, P=80.0782 MW, Q=46.9845 MVar
[2026-05-19 14:31:39] [iter 12] [Bus 5] P/Q/CMD -> V_in=1.0090 pu, I_in=749.0000 A, PF=0.9741, V_out=1.0090 pu, I_out=749.0000 A, V_DT=1.0081 pu, P=140.2587 MW, Q=32.5582 MVar


[2026-05-19 14:31:43] [iter 13] [Bus 1] P/Q/CMD -> V_in=1.0200 pu, I_in=1260.5000 A, PF=0.9836, V_out=1.0200 pu, I_out=1260.5000 A, V_DT=1.0200 pu, P=240.9433 MW, Q=44.1820 MVar
[2026-05-19 14:31:43] [iter 13] [Bus 2] P/Q/CMD -> V_in=1.0110 pu, I_in=403.8333 A, PF=0.9584, V_out=1.0110 pu, I_out=403.8333 A, V_DT=1.0080 pu, P=74.5510 MW, Q=22.2026 MVar
[2026-05-19 14:31:43] [iter 13] [Bus 3] P/Q/CMD -> V_in=1.0060 pu, I_in=613.1000 A, PF=0.9676, V_out=1.0060 pu, I_out=613.1000 A, V_DT=1.0046 pu, P=113.7047 MW, Q=29.6704 MVar
[2026-05-19 14:31:43] [iter 13] [Bus 4] P/Q/CMD -> V_in=1.0130 pu, I_in=688.2667 A, PF=0.9061, V_out=1.0130 pu, I_out=688.2667 A, V_DT=1.0100 pu, P=120.3637 MW, Q=56.1986 MVar
[2026-05-19 14:31:43] [iter 13] [Bus 5] P/Q/CMD -> V_in=1.0050 pu, I_in=476.9000 A, PF=0.9721, V_out=1.0050 pu, I_out=476.9000 A, V_DT=1.0072 pu, P=88.7682 MW, Q=21.4197 MVar


[2026-05-19 14:31:47] [iter 14] [Bus 1] P/Q/CMD -> V_in=1.0240 pu, I_in=914.4333 A, PF=0.9809, V_out=1.0240 pu, I_out=914.4333 A, V_DT=1.0200 pu, P=174.9968 MW, Q=34.7019 MVar
[2026-05-19 14:31:47] [iter 14] [Bus 2] P/Q/CMD -> V_in=1.0050 pu, I_in=409.7333 A, PF=0.9495, V_out=1.0050 pu, I_out=409.7333 A, V_DT=1.0094 pu, P=74.4930 MW, Q=24.6166 MVar
[2026-05-19 14:31:47] [iter 14] [Bus 3] P/Q/CMD -> V_in=1.0060 pu, I_in=479.8333 A, PF=0.9320, V_out=1.0060 pu, I_out=479.8333 A, V_DT=1.0062 pu, P=85.7152 MW, Q=33.3349 MVar
[2026-05-19 14:31:47] [iter 14] [Bus 4] P/Q/CMD -> V_in=1.0140 pu, I_in=509.8667 A, PF=0.8129, V_out=1.0140 pu, I_out=509.8667 A, V_DT=1.0100 pu, P=80.0728 MW, Q=57.3683 MVar
[2026-05-19 14:31:47] [iter 14] [Bus 5] P/Q/CMD -> V_in=1.0110 pu, I_in=501.6667 A, PF=0.9518, V_out=1.0110 pu, I_out=501.6667 A, V_DT=1.0082 pu, P=91.9741 MW, Q=29.6388 MVar


[2026-05-19 14:31:51] [iter 15] [Bus 1] P/Q/CMD -> V_in=1.0170 pu, I_in=1374.1000 A, PF=0.9809, V_out=1.0170 pu, I_out=1374.1000 A, V_DT=1.0200 pu, P=261.1664 MW, Q=51.7894 MVar
