comparison (-),iteration (-),origin_cycle (-),bus (-),baseline_cmd_id (-),mitm_cmd_id (-),baseline_breaker_DT (-),mitm_breaker_DT (-),false_control_action (-),control_error_type (-)
mitm_vs_baseline,iteration_1,58,5,55,54,1,1,0,correct
mitm_vs_baseline,iteration_1,59,1,56,55,1,1,0,correct
mitm_vs_baseline,iteration_1,59,2,56,55,1,0,1,false_open
mitm_vs_baseline,iteration_1,59,3,56,55,1,0,1,false_open
mitm_vs_baseline,iteration_1,59,4,56,55,1,1,0,correct
mitm_vs_baseline,iteration_1,59,5,56,55,1,1,0,correct
mitm_vs_baseline,iteration_1,60,1,57,56,1,1,0,correct
mitm_vs_baseline,iteration_1,60,2,57,56,1,1,0,correct
mitm_vs_baseline,iteration_1,60,3,57,56,1,0,1,false_open
mitm_vs_baseline,iteration_1,60,4,57,56,1,1,0,correct
mitm_vs_baseline,iteration_1,60,5,57,56,1,1,0,correct
mitm_vs_baseline,iteration_1,61,1,58,57,1,1,0,correct
mitm_vs_baseline,iteration_1,61,2,58,57,1,1,0,correct
mitm_vs_baseline,iteration_1,61,3,58,57,1,0,1,false_open
mitm_vs_baseline,iteration_1,61,4,58,57,1,1,0,correct
mitm_vs_baseline,iteration_1,61,5,58,57,1,1,0,correct
mitm_vs_baseline,iteration_1,62,1,59,58,1,1,0,correct
mitm_vs_baseline,iteration_1,62,2,59,58,1,1,0,correct
mitm_vs_baseline,iteration_1,62,3,59,58,1,0,1,false_open
mitm_vs_baseline,iteration_1,62,4,59,58,1,1,0,correct
mitm_vs_baseline,iteration_1,62,5,59,58,1,1,0,correct
mitm_vs_baseline,iteration_1,63,1,60,59,1,1,0,correct
mitm_vs_baseline,iteration_1,63,2,60,59,1,1,0,correct
mitm_vs_baseline,iteration_1,63,3,60,59,1,1,0,correct
mitm_vs_baseline,iteration_1,63,4,60,59,1,1,0,correct
mitm_vs_baseline,iteration_1,63,5,60,59,1,1,0,correct
mitm_vs_baseline,iteration_1,64,1,61,60,1,1,0,correct
mitm_vs_baseline,iteration_1,64,2,61,60,1,1,0,correct
mitm_vs_baseline,iteration_1,64,3,61,60,1,1,0,correct
mitm_vs_baseline,iteration_1,64,4,61,60,1,1,0,correct
mitm_vs_baseline,iteration_1,64,5,61,60,1,1,0,correct
mitm_vs_baseline,iteration_1,65,1,62,61,1,1,0,correct
mitm_vs_baseline,iteration_1,65,2,62,61,1,1,0,correct
mitm_vs_baseline,iteration_1,65,3,62,61,1,1,0,correct
mitm_vs_baseline,iteration_1,65,4,62,61,1,1,0,correct
mitm_vs_baseline,iteration_1,65,5,62,61,1,1,0,correct
mitm_vs_baseline,iteration_1,66,1,63,62,1,1,0,correct
mitm_vs_baseline,iteration_1,66,2,63,62,1,0,1,false_open
mitm_vs_baseline,iteration_1,66,3,63,62,1,0,1,false_open
mitm_vs_baseline,iteration_1,66,4,63,62,1,1,0,correct
mitm_vs_baseline,iteration_1,66,5,63,62,1,1,0,correct
mitm_vs_baseline,iteration_1,67,1,64,63,1,0,1,false_open
mitm_vs_baseline,iteration_1,67,2,64,63,1,0,1,false_open
mitm_vs_baseline,iteration_1,67,3,64,63,1,0,1,false_open
mitm_vs_baseline,iteration_1,67,4,64,63,1,1,0,correct
mitm_vs_baseline,iteration_1,67,5,64,63,1,1,0,correct
mitm_vs_baseline,iteration_1,68,1,65,64,1,1,0,correct
mitm_vs_baseline,iteration_1,68,2,65,64,1,1,0,correct
mitm_vs_baseline,iteration_1,68,3,65,64,1,0,1,false_open
mitm_vs_baseline,iteration_1,68,4,65,64,1,1,0,correct
mitm_vs_baseline,iteration_1,68,5,65,64,1,1,0,correct
mitm_vs_baseline,iteration_1,69,1,66,65,1,1,0,correct
mitm_vs_baseline,iteration_1,69,2,66,65,1,0,1,false_open
mitm_vs_baseline,iteration_1,69,3,66,65,1,0,1,false_open
mitm_vs_baseline,iteration_1,69,4,66,65,1,1,0,correct
mitm_vs_baseline,iteration_1,69,5,66,65,1,1,0,correct
mitm_vs_baseline,iteration_1,70,1,67,66,1,1,0,correct
mitm_vs_baseline,iteration_1,70,2,67,66,1,1,0,correct
mitm_vs_baseline,iteration_1,70,3,67,66,1,1,0,correct
mitm_vs_baseline,iteration_1,70,4,67,66,1,1,0,correct
mitm_vs_baseline,iteration_1,70,5,67,66,1,1,0,correct
mitm_vs_baseline,iteration_1,71,1,68,67,1,1,0,correct
mitm_vs_baseline,iteration_1,71,2,68,67,1,1,0,correct
mitm_vs_baseline,iteration_1,71,3,68,67,1,0,1,false_open
mitm_vs_baseline,iteration_1,71,4,68,67,1,1,0,correct
mitm_vs_baseline,iteration_1,71,5,68,67,1,1,0,correct
mitm_vs_baseline,iteration_1,72,1,69,68,1,0,1,false_open
mitm_vs_baseline,iteration_1,72,2,69,68,1,0,1,false_open
mitm_vs_baseline,iteration_1,72,3,69,68,1,0,1,false_open
mitm_vs_baseline,iteration_1,72,4,69,68,1,0,1,false_open
mitm_vs_baseline,iteration_1,72,5,69,68,1,1,0,correct
mitm_vs_baseline,iteration_1,73,1,70,69,1,1,0,correct
mitm_vs_baseline,iteration_1,73,2,70,69,1,0,1,false_open
mitm_vs_baseline,iteration_1,73,3,70,69,1,1,0,correct
mitm_vs_baseline,iteration_1,73,4,70,69,1,1,0,correct
mitm_vs_baseline,iteration_1,73,5,70,69,1,1,0,correct
mitm_vs_baseline,iteration_1,74,1,71,70,1,1,0,correct
mitm_vs_baseline,iteration_1,74,2,71,70,1,0,1,false_open
mitm_vs_baseline,iteration_1,74,3,71,70,1,0,1,false_open
mitm_vs_baseline,iteration_1,74,4,71,70,1,0,1,false_open
mitm_vs_baseline,iteration_1,74,5,71,70,1,1,0,correct
mitm_vs_baseline,iteration_1,75,1,72,71,1,1,0,correct
mitm_vs_baseline,iteration_1,75,2,72,71,1,0,1,false_open
mitm_vs_baseline,iteration_1,75,3,72,71,1,1,0,correct
mitm_vs_baseline,iteration_1,75,4,72,71,1,1,0,correct
mitm_vs_baseline,iteration_1,75,5,72,71,1,1,0,correct
mitm_vs_baseline,iteration_1,76,1,73,72,1,1,0,correct
mitm_vs_baseline,iteration_1,76,2,73,72,1,1,0,correct
mitm_vs_baseline,iteration_1,76,3,73,72,1,1,0,correct
mitm_vs_baseline,iteration_1,76,4,73,72,1,0,1,false_open
mitm_vs_baseline,iteration_1,76,5,73,72,1,1,0,correct
mitm_vs_baseline,iteration_1,77,1,74,73,1,1,0,correct
mitm_vs_baseline,iteration_1,77,2,74,73,1,1,0,correct
mitm_vs_baseline,iteration_1,77,3,74,73,1,1,0,correct
mitm_vs_baseline,iteration_1,77,4,74,73,1,1,0,correct
mitm_vs_baseline,iteration_1,77,5,74,73,1,1,0,correct
mitm_vs_baseline,iteration_1,78,1,75,74,1,1,0,correct
mitm_vs_baseline,iteration_1,78,2,75,74,1,1,0,correct
mitm_vs_baseline,iteration_1,78,3,75,74,1,1,0,correct
mitm_vs_baseline,iteration_1,78,4,75,74,1,1,0,correct
mitm_vs_baseline,iteration_1,78,5,75,74,1,1,0,correct
mitm_vs_baseline,iteration_1,79,1,76,75,1,0,1,false_open
mitm_vs_baseline,iteration_1,79,2,76,75,1,0,1,false_open
mitm_vs_baseline,iteration_1,79,3,76,75,1,0,1,false_open
mitm_vs_baseline,iteration_1,79,4,76,75,1,1,0,correct
mitm_vs_baseline,iteration_1,79,5,76,75,1,1,0,correct
mitm_vs_baseline,iteration_1,80,1,77,76,1,0,1,false_open
mitm_vs_baseline,iteration_1,80,2,77,76,1,0,1,false_open
mitm_vs_baseline,iteration_1,80,3,77,76,1,0,1,false_open
mitm_vs_baseline,iteration_1,80,4,77,76,1,1,0,correct
mitm_vs_baseline,iteration_1,80,5,77,76,1,1,0,correct
mitm_vs_baseline,iteration_1,81,1,78,77,1,1,0,correct
mitm_vs_baseline,iteration_1,81,2,78,77,1,0,1,false_open
mitm_vs_baseline,iteration_1,81,3,78,77,1,1,0,correct
mitm_vs_baseline,iteration_1,81,4,78,77,1,1,0,correct
