cmd_id,origin_cycle,ts_sent,bus,breaker_DT
37,42,1780254776.387280,5,1
38,43,1780254777.433805,1,1
38,43,1780254777.433805,2,1
38,43,1780254777.433805,3,1
38,43,1780254777.433805,4,1
38,43,1780254777.433805,5,1
39,44,1780254778.480091,1,1
39,44,1780254778.480091,2,0
39,44,1780254778.480091,3,1
39,44,1780254778.480091,4,1
39,44,1780254778.480091,5,1
40,45,1780254779.489592,1,0
40,45,1780254779.489592,2,0
40,45,1780254779.489592,3,0
40,45,1780254779.489592,4,0
40,45,1780254779.489592,5,1
41,46,1780254780.498917,1,1
41,46,1780254780.498917,2,1
41,46,1780254780.498917,3,1
41,46,1780254780.498917,4,1
41,46,1780254780.498917,5,1
42,47,1780254781.528691,1,1
42,47,1780254781.528691,2,0
42,47,1780254781.528691,3,0
42,47,1780254781.528691,4,0
42,47,1780254781.528691,5,1
43,48,1780254782.543246,1,0
43,48,1780254782.543246,2,0
43,48,1780254782.543246,3,0
43,48,1780254782.543246,4,0
43,48,1780254782.543246,5,1
44,49,1780254783.536439,1,1
44,49,1780254783.536439,2,1
44,49,1780254783.536439,3,0
44,49,1780254783.536439,4,0
44,49,1780254783.536439,5,1
45,50,1780254784.542413,1,1
45,50,1780254784.542413,2,0
45,50,1780254784.542413,3,0
45,50,1780254784.542413,4,0
45,50,1780254784.542413,5,1
46,51,1780254785.554589,1,1
46,51,1780254785.554589,2,1
46,51,1780254785.554589,3,1
46,51,1780254785.554589,4,0
46,51,1780254785.554589,5,1
47,52,1780254786.558117,1,1
47,52,1780254786.558117,2,1
47,52,1780254786.558117,3,0
47,52,1780254786.558117,4,0
47,52,1780254786.558117,5,1
48,53,1780254787.563794,1,1
48,53,1780254787.563794,2,1
48,53,1780254787.563794,3,1
48,53,1780254787.563794,4,1
48,53,1780254787.563794,5,1
49,54,1780254788.566461,1,1
49,54,1780254788.566461,2,1
49,54,1780254788.566461,3,1
49,54,1780254788.566461,4,1
49,54,1780254788.566461,5,1
50,55,1780254789.563570,1,0
50,55,1780254789.563570,2,0
50,55,1780254789.563570,3,0
50,55,1780254789.563570,4,1
50,55,1780254789.563570,5,1
51,55,1780254790.580479,1,0
51,55,1780254790.580479,2,0
51,55,1780254790.580479,3,0
51,55,1780254790.580479,4,1
51,55,1780254790.580479,5,1
52,57,1780254791.576607,1,1
52,57,1780254791.576607,2,0
52,57,1780254791.576607,3,0
52,57,1780254791.576607,4,1
52,57,1780254791.576607,5,1
53,58,1780254792.583598,1,1
53,58,1780254792.583598,2,0
53,58,1780254792.583598,3,0
53,58,1780254792.583598,4,1
53,58,1780254792.583598,5,1
54,59,1780254793.643610,1,1
54,59,1780254793.643610,2,1
54,59,1780254793.643610,3,0
54,59,1780254793.643610,4,1
54,59,1780254793.643610,5,1
55,60,1780254794.635640,1,1
55,60,1780254794.635640,2,1
55,60,1780254794.635640,3,0
55,60,1780254794.635640,4,1
55,60,1780254794.635640,5,1
56,61,1780254795.641878,1,1
56,61,1780254795.641878,2,1
56,61,1780254795.641878,3,1
56,61,1780254795.641878,4,1
56,61,1780254795.641878,5,1
57,62,1780254796.907487,1,1
57,62,1780254796.907487,2,1
57,62,1780254796.907487,3,1
57,62,1780254796.907487,4,1
57,62,1780254796.907487,5,1
58,62,1780254797.903415,1,0
58,62,1780254797.903415,2,0
58,62,1780254797.903415,3,0
58,62,1780254797.903415,4,0
58,62,1780254797.903415,5,1
59,64,1780254798.934368,1,0
59,64,1780254798.934368,2,0
59,64,1780254798.934368,3,0
59,64,1780254798.934368,4,1
59,64,1780254798.934368,5,1
60,65,1780254800.084879,1,1
60,65,1780254800.084879,2,0
60,65,1780254800.084879,3,0
60,65,1780254800.084879,4,0
60,65,1780254800.084879,5,1
61,66,1780254801.085089,1,1
61,66,1780254801.085089,2,0
61,66,1780254801.085089,3,0
61,66,1780254801.085089,4,1
61,66,1780254801.085089,5,1
62,67,1780254802.120692,1,1
62,67,1780254802.120692,2,1
62,67,1780254802.120692,3,0
62,67,1780254802.120692,4,0
62,67,1780254802.120692,5,1
63,68,1780254803.190892,1,1
63,68,1780254803.190892,2,1
63,68,1780254803.190892,3,0
63,68,1780254803.190892,4,1
63,68,1780254803.190892,5,1
64,69,1780254804.233010,1,1
64,69,1780254804.233010,2,1
64,69,1780254804.233010,3,1
64,69,1780254804.233010,4,0
64,69,1780254804.233010,5,1
65,70,1780254805.239279,1,1
65,70,1780254805.239279,2,1
65,70,1780254805.239279,3,1
65,70,1780254805.239279,4,1
65,70,1780254805.239279,5,1
66,71,1780254806.242542,1,1
66,71,1780254806.242542,2,1
66,71,1780254806.242542,3,1
66,71,1780254806.242542,4,1
66,71,1780254806.242542,5,1
67,72,1780254807.249631,1,1
67,72,1780254807.249631,2,0
67,72,1780254807.249631,3,0
67,72,1780254807.249631,4,1
67,72,1780254807.249631,5,1
68,73,1780254808.265121,1,0
68,73,1780254808.265121,2,0
68,73,1780254808.265121,3,0
68,73,1780254808.265121,4,1
68,73,1780254808.265121,5,1
69,73,1780254809.272151,1,0
69,73,1780254809.272151,2,0
69,73,1780254809.272151,3,0
69,73,1780254809.272151,4,1
69,73,1780254809.272151,5,1
70,74,1780254810.433218,1,1
70,74,1780254810.433218,2,1
70,74,1780254810.433218,3,0
70,74,1780254810.433218,4,1
70,74,1780254810.433218,5,1
71,75,1780254811.507204,1,1
71,75,1780254811.507204,2,0
71,75,1780254811.507204,3,0
71,75,1780254811.507204,4,1
71,75,1780254811.507204,5,1
72,77,1780254812.668837,1,1
72,77,1780254812.668837,2,0
72,77,1780254812.668837,3,0
72,77,1780254812.668837,4,1
72,77,1780254812.668837,5,1
73,78,1780254813.751840,1,1
73,78,1780254813.751840,2,0
73,78,1780254813.751840,3,0
73,78,1780254813.751840,4,1
73,78,1780254813.751840,5,1
74,79,1780254815.268311,1,1
74,79,1780254815.268311,2,1
