timestamp_b,waktu,bus,v_berfore_b,v_after_b,i_before_b,i_after_b,v_dt_b,timestamp_m,v_berfore_m,v_after_m,i_before_m,i_after_m,v_dt_m,delta_i_m,delta_i_b,abs_delta_i_m,abs_delta_i_b,drift_v_dt,abs_drift_v_dt,pct_i_inj_m,pct_v_dt_vs_b
2026-05-12 23:44:23,14,5,0.995,0.995,510.482759,510.482759,1.040564,2026-05-12 23:24:10,1.047,1.047,446.137931,1686.103448,0.981768,1239.965517,0.0,1239.965517,0.0,-0.05879600000000007,0.05879600000000007,277.93321931657675,5.650397279119409
2026-05-12 23:44:27,15,1,0.951,0.951,426.275862,426.275862,1.042342,2026-05-12 23:24:14,0.951,0.951,426.275862,1553.0,1.024728,1126.724138,0.0,1126.724138,0.0,-0.01761400000000002,0.01761400000000002,264.31807094834267,1.6898484358398234
2026-05-12 23:44:27,15,2,1.018,1.018,318.758621,318.758621,1.045253,2026-05-12 23:24:14,1.018,1.018,318.758621,318.758621,1.007122,0.0,0.0,0.0,0.0,-0.038130999999999915,0.038130999999999915,0.0,3.64801631409044
2026-05-12 23:44:27,15,3,0.976,0.976,379.172414,379.172414,1.04009,2026-05-12 23:24:14,0.976,0.976,379.172414,1513.793103,0.984606,1134.6206889999999,0.0,1134.6206889999999,0.0,-0.05548399999999998,0.05548399999999998,299.23608472414844,5.3345383521286225
2026-05-12 23:44:27,15,4,0.961,0.961,290.827586,290.827586,1.038409,2026-05-12 23:24:14,0.961,0.961,290.827586,1553.758621,0.937244,1262.931035,0.0,1262.931035,0.0,-0.10116499999999995,0.10116499999999995,434.25420814704216,9.742307694037404
2026-05-12 23:44:27,15,5,0.995,0.995,510.482759,510.482759,1.03975,2026-05-12 23:24:14,0.995,0.995,510.482759,1585.448276,0.948064,1074.965517,0.0,1074.965517,0.0,-0.09168599999999993,0.09168599999999993,210.5782214858735,8.818081261054978
2026-05-12 23:44:31,16,1,1.037,1.037,196.655172,196.655172,1.041962,2026-05-12 23:24:18,1.037,1.037,196.655172,196.655172,1.024728,0.0,0.0,0.0,0.0,-0.01723399999999997,0.01723399999999997,0.0,1.6539950577333933
2026-05-12 23:44:31,16,2,1.0,1.0,166.724138,166.724138,1.045126,2026-05-12 23:24:18,1.0,1.0,166.724138,166.724138,1.007122,0.0,0.0,0.0,0.0,-0.03800399999999993,0.03800399999999993,0.0,3.6363079632156166
2026-05-12 23:44:31,16,3,1.041,1.041,452.758621,452.758621,1.039767,2026-05-12 23:24:18,1.041,1.041,452.758621,452.758621,0.984606,0.0,0.0,0.0,0.0,-0.05516100000000013,0.05516100000000013,0.0,5.305130855946458
2026-05-12 23:44:31,16,4,0.979,0.979,377.034483,377.034483,1.037972,2026-05-12 23:24:18,0.979,0.979,377.034483,377.034483,0.937244,0.0,0.0,0.0,0.0,-0.10072799999999993,0.10072799999999993,0.0,9.704308006666544
2026-05-12 23:44:31,16,5,1.01,1.01,153.689655,153.689655,1.039187,2026-05-12 23:24:18,1.01,1.01,153.689655,153.689655,0.948064,0.0,0.0,0.0,0.0,-0.09112300000000007,0.09112300000000007,0.0,8.768681662906987
2026-05-12 23:44:35,17,1,1.026,1.026,317.275862,317.275862,1.043292,2026-05-12 23:24:22,1.026,1.026,317.275862,1621.551724,1.022284,1304.275862,0.0,1304.275862,0.0,-0.021008000000000138,0.021008000000000138,411.0857503206917,2.013626096995268
2026-05-12 23:44:35,17,2,1.027,1.027,312.896552,312.896552,1.045771,2026-05-12 23:24:22,1.027,1.027,312.896552,1567.344828,1.021159,1254.448276,0.0,1254.448276,0.0,-0.024612000000000078,0.024612000000000078,400.9146997538193,2.3534789142618497
2026-05-12 23:44:35,17,3,0.95,0.95,242.965517,242.965517,1.039406,2026-05-12 23:24:22,0.95,0.95,242.965517,1602.62069,1.006459,1359.6551729999999,0.0,1359.6551729999999,0.0,-0.03294700000000006,0.03294700000000006,559.608286884561,3.1697912046209225
2026-05-12 23:44:35,17,4,0.951,0.951,522.275862,522.275862,1.037735,2026-05-12 23:24:22,0.951,0.951,522.275862,1661.965517,0.992511,1139.6896550000001,0.0,1139.6896550000001,0.0,-0.04522400000000004,0.04522400000000004,218.21603021313666,4.357952652307238
2026-05-12 23:44:35,17,5,1.037,1.037,437.724138,437.724138,1.039285,2026-05-12 23:24:22,1.037,1.037,437.724138,1698.172414,0.993021,1260.4482759999999,0.0,1260.4482759999999,0.0,-0.04626399999999997,0.04626399999999997,287.9549386697177,4.451521955525649
2026-05-12 23:44:39,18,1,0.98,0.98,115.793103,115.793103,1.043133,2026-05-12 23:24:26,0.98,0.98,115.793103,1608.896552,1.013685,1493.103449,0.0,1493.103449,0.0,-0.02944800000000014,0.02944800000000014,1289.458005202106,2.823034068692084
2026-05-12 23:44:39,18,2,1.037,1.037,486.689655,486.689655,1.04546,2026-05-12 23:24:26,1.037,1.037,486.689655,1514.758621,1.003324,1028.0689659999998,0.0,1028.0689659999998,0.0,-0.04213599999999995,0.04213599999999995,211.23706931630363,4.030378968080669
2026-05-12 23:44:39,18,3,0.958,0.958,315.137931,315.137931,1.039216,2026-05-12 23:24:26,0.958,0.958,315.137931,1636.413793,0.979655,1321.275862,0.0,1321.275862,0.0,-0.059560999999999864,0.059560999999999864,419.26906533105,5.731339773703106
2026-05-12 23:44:39,18,4,0.956,0.956,442.068966,442.068966,1.03628,2026-05-12 23:24:26,0.956,0.956,442.068966,442.068966,0.938408,0.0,0.0,0.0,0.0,-0.09787200000000007,0.09787200000000007,0.0,9.444551656459117
2026-05-12 23:44:39,18,5,1.026,1.026,140.862069,140.862069,1.037929,2026-05-12 23:24:26,1.026,1.026,140.862069,1664.862069,0.948232,1524.0,0.0,1524.0,0.0,-0.08969700000000014,0.08969700000000014,1081.9094167791231,8.641920585471734
2026-05-12 23:44:43,19,1,0.997,0.997,331.0,331.0,1.044589,2026-05-12 23:24:30,0.98,0.98,115.793103,115.793103,1.011353,0.0,0.0,0.0,0.0,-0.03323600000000004,0.03323600000000004,0.0,3.181729844769832
2026-05-12 23:44:43,19,2,0.976,0.976,483.62069,483.62069,1.044504,2026-05-12 23:24:30,1.037,1.037,486.689655,486.689655,1.001466,0.0,0.0,0.0,0.0,-0.04303800000000013,0.04303800000000013,0.0,4.120424618651137
2026-05-12 23:44:43,19,3,0.992,0.992,182.724138,182.724138,1.039079,2026-05-12 23:24:30,0.958,0.958,315.137931,315.137931,0.981669,0.0,0.0,0.0,0.0,-0.05741000000000007,0.05741000000000007,0.0,5.525085190322315
2026-05-12 23:44:43,19,4,1.002,1.002,407.896552,407.896552,1.036609,2026-05-12 23:24:30,0.956,0.956,442.068966,442.068966,0.960714,0.0,0.0,0.0,0.0,-0.07589499999999993,0.07589499999999993,0.0,7.321468357576025
