cmd_id,origin_cycle,ts_received,bus,breaker_DT
70,74,1780260795.702820,4,1
70,74,1780260795.702820,5,1
71,75,1780260796.720796,1,1
71,75,1780260796.720796,2,1
71,75,1780260796.720796,3,1
71,75,1780260796.720796,4,1
71,75,1780260796.720796,5,1
72,76,1780260797.764104,1,1
72,76,1780260797.764104,2,1
72,76,1780260797.764104,3,1
72,76,1780260797.764104,4,1
72,76,1780260797.764104,5,1
73,77,1780260798.882943,1,0
73,77,1780260798.882943,2,0
73,77,1780260798.882943,3,0
73,77,1780260798.882943,4,1
73,77,1780260798.882943,5,1
74,78,1780260799.884125,1,0
74,78,1780260799.884125,2,0
74,78,1780260799.884125,3,0
74,78,1780260799.884125,4,0
74,78,1780260799.884125,5,1
75,79,1780260800.887944,1,1
75,79,1780260800.887944,2,0
75,79,1780260800.887944,3,0
75,79,1780260800.887944,4,1
75,79,1780260800.887944,5,1
75,79,1780260801.888436,1,1
75,79,1780260801.888436,2,0
75,79,1780260801.888436,3,0
75,79,1780260801.888436,4,1
75,79,1780260801.888436,5,1
77,81,1780260802.889018,1,1
77,81,1780260802.889018,2,0
77,81,1780260802.889018,3,0
77,81,1780260802.889018,4,0
77,81,1780260802.889018,5,1
77,81,1780260803.889947,1,1
77,81,1780260803.889947,2,0
77,81,1780260803.889947,3,0
77,81,1780260803.889947,4,0
77,81,1780260803.889947,5,1
78,82,1780260804.890203,1,1
78,82,1780260804.890203,2,1
78,82,1780260804.890203,3,0
78,82,1780260804.890203,4,1
78,82,1780260804.890203,5,1
80,84,1780260805.891564,1,1
80,84,1780260805.891564,2,1
80,84,1780260805.891564,3,0
80,84,1780260805.891564,4,1
80,84,1780260805.891564,5,1
81,85,1780260806.894684,1,1
81,85,1780260806.894684,2,1
81,85,1780260806.894684,3,1
81,85,1780260806.894684,4,0
81,85,1780260806.894684,5,1
82,86,1780260807.896033,1,1
82,86,1780260807.896033,2,1
82,86,1780260807.896033,3,1
82,86,1780260807.896033,4,1
82,86,1780260807.896033,5,1
83,87,1780260808.896384,1,1
83,87,1780260808.896384,2,1
83,87,1780260808.896384,3,1
83,87,1780260808.896384,4,1
83,87,1780260808.896384,5,1
84,88,1780260809.898230,1,1
84,88,1780260809.898230,2,1
84,88,1780260809.898230,3,1
84,88,1780260809.898230,4,1
84,88,1780260809.898230,5,1
85,89,1780260810.900408,1,0
85,89,1780260810.900408,2,0
85,89,1780260810.900408,3,0
85,89,1780260810.900408,4,1
85,89,1780260810.900408,5,1
86,90,1780260811.903730,1,1
86,90,1780260811.903730,2,0
86,90,1780260811.903730,3,0
86,90,1780260811.903730,4,1
86,90,1780260811.903730,5,1
87,91,1780260812.904581,1,1
87,91,1780260812.904581,2,0
87,91,1780260812.904581,3,0
87,91,1780260812.904581,4,1
87,91,1780260812.904581,5,1
