Memulai Server OPC UA
Endpoints other than open requested but private key and certificate are not set.
Listening on 10.0.2.2:4840


[2026-05-12 22:19:35] [iter 14] [Bus 1] P/Q/CMD -> V_in=0.9510 pu, I_in=426.2759 A, V_out=0.9510 pu, I_out=426.2759 A, V_DT=1.0451 pu, P=134.2646 MW, Q=39.1605 MVar
[2026-05-12 22:19:35] [iter 14] [Bus 2] P/Q/CMD -> V_in=1.0180 pu, I_in=318.7586 A, V_out=1.0180 pu, I_out=318.7586 A, V_DT=1.0448 pu, P=127.6244 MW, Q=41.9481 MVar
[2026-05-12 22:19:35] [iter 14] [Bus 3] P/Q/CMD -> V_in=0.9760 pu, I_in=379.1724 A, V_out=0.9760 pu, I_out=379.1724 A, V_DT=1.0401 pu, P=123.8447 MW, Q=31.0384 MVar
[2026-05-12 22:19:35] [iter 14] [Bus 4] P/Q/CMD -> V_in=0.9610 pu, I_in=290.8276 A, V_out=0.9610 pu, I_out=290.8276 A, V_DT=1.0384 pu, P=104.2326 MW, Q=37.8314 MVar
[2026-05-12 22:19:35] [iter 14] [Bus 5] P/Q/CMD -> V_in=0.9950 pu, I_in=510.4828 A, V_out=0.9950 pu, I_out=510.4828 A, V_DT=1.0400 pu, P=168.2265 MW, Q=49.0661 MVar


[2026-05-12 22:19:40] [iter 15] [Bus 1] P/Q/CMD -> V_in=0.9510 pu, I_in=426.2759 A, V_out=0.9510 pu, I_out=426.2759 A, V_DT=1.0438 pu, P=134.2646 MW, Q=39.1605 MVar
[2026-05-12 22:19:40] [iter 15] [Bus 2] P/Q/CMD -> V_in=1.0180 pu, I_in=318.7586 A, V_out=1.0180 pu, I_out=318.7586 A, V_DT=1.0448 pu, P=127.6244 MW, Q=41.9481 MVar
[2026-05-12 22:19:40] [iter 15] [Bus 3] P/Q/CMD -> V_in=0.9760 pu, I_in=379.1724 A, V_out=0.9760 pu, I_out=379.1724 A, V_DT=1.0398 pu, P=123.8447 MW, Q=31.0384 MVar
[2026-05-12 22:19:40] [iter 15] [Bus 4] P/Q/CMD -> V_in=0.9610 pu, I_in=290.8276 A, V_out=0.9610 pu, I_out=290.8276 A, V_DT=1.0380 pu, P=104.2326 MW, Q=37.8314 MVar
[2026-05-12 22:19:40] [iter 15] [Bus 5] P/Q/CMD -> V_in=0.9950 pu, I_in=510.4828 A, V_out=0.9950 pu, I_out=510.4828 A, V_DT=1.0394 pu, P=168.2265 MW, Q=49.0661 MVar


[2026-05-12 22:19:44] [iter 16] [Bus 1] P/Q/CMD -> V_in=1.0370 pu, I_in=196.6552 A, V_out=1.0370 pu, I_out=196.6552 A, V_DT=1.0429 pu, P=67.5421 MW, Q=19.6998 MVar
[2026-05-12 22:19:44] [iter 16] [Bus 2] P/Q/CMD -> V_in=1.0000 pu, I_in=166.7241 A, V_out=1.0000 pu, I_out=166.7241 A, V_DT=1.0449 pu, P=65.5726 MW, Q=21.5527 MVar
[2026-05-12 22:19:44] [iter 16] [Bus 3] P/Q/CMD -> V_in=1.0410 pu, I_in=452.7586 A, V_out=1.0410 pu, I_out=452.7586 A, V_DT=1.0396 pu, P=157.7278 MW, Q=39.5303 MVar
[2026-05-12 22:19:44] [iter 16] [Bus 4] P/Q/CMD -> V_in=0.9790 pu, I_in=377.0345 A, V_out=0.9790 pu, I_out=377.0345 A, V_DT=1.0377 pu, P=137.6602 MW, Q=49.9640 MVar
[2026-05-12 22:19:44] [iter 16] [Bus 5] P/Q/CMD -> V_in=1.0100 pu, I_in=153.6897 A, V_out=1.0100 pu, I_out=153.6897 A, V_DT=1.0389 pu, P=51.4110 MW, Q=14.9949 MVar


[2026-05-12 22:19:48] [iter 17] [Bus 1] P/Q/CMD -> V_in=1.0260 pu, I_in=317.2759 A, V_out=1.0260 pu, I_out=317.2759 A, V_DT=1.0439 pu, P=107.8139 MW, Q=31.4457 MVar
[2026-05-12 22:19:48] [iter 17] [Bus 2] P/Q/CMD -> V_in=1.0270 pu, I_in=312.8966 A, V_out=1.0270 pu, I_out=312.8966 A, V_DT=1.0456 pu, P=126.3849 MW, Q=41.5407 MVar
[2026-05-12 22:19:48] [iter 17] [Bus 3] P/Q/CMD -> V_in=0.9500 pu, I_in=242.9655 A, V_out=0.9500 pu, I_out=242.9655 A, V_DT=1.0393 pu, P=77.2430 MW, Q=19.3589 MVar
[2026-05-12 22:19:48] [iter 17] [Bus 4] P/Q/CMD -> V_in=0.9510 pu, I_in=522.2759 A, V_out=0.9510 pu, I_out=522.2759 A, V_DT=1.0376 pu, P=185.2359 MW, Q=67.2317 MVar
[2026-05-12 22:19:48] [iter 17] [Bus 5] P/Q/CMD -> V_in=1.0370 pu, I_in=437.7241 A, V_out=1.0370 pu, I_out=437.7241 A, V_DT=1.0391 pu, P=150.3383 MW, Q=43.8487 MVar


[2026-05-12 22:19:52] [iter 18] [Bus 1] P/Q/CMD -> V_in=0.9800 pu, I_in=115.7931 A, V_out=0.9800 pu, I_out=115.7931 A, V_DT=1.0435 pu, P=37.5837 MW, Q=10.9619 MVar
[2026-05-12 22:19:52] [iter 18] [Bus 2] P/Q/CMD -> V_in=1.0370 pu, I_in=486.6897 A, V_out=1.0370 pu, I_out=486.6897 A, V_DT=1.0454 pu, P=198.4974 MW, Q=65.2429 MVar
[2026-05-12 22:19:52] [iter 18] [Bus 3] P/Q/CMD -> V_in=0.9580 pu, I_in=315.1379 A, V_out=0.9580 pu, I_out=315.1379 A, V_DT=1.0391 pu, P=101.0316 MW, Q=25.3209 MVar
[2026-05-12 22:19:52] [iter 18] [Bus 4] P/Q/CMD -> V_in=0.9560 pu, I_in=442.0690 A, V_out=0.9560 pu, I_out=442.0690 A, V_DT=1.0362 pu, P=157.6132 MW, Q=57.2060 MVar
[2026-05-12 22:19:52] [iter 18] [Bus 5] P/Q/CMD -> V_in=1.0260 pu, I_in=140.8621 A, V_out=1.0260 pu, I_out=140.8621 A, V_DT=1.0378 pu, P=47.8665 MW, Q=13.9611 MVar


[2026-05-12 22:19:56] [iter 19] [Bus 1] P/Q/CMD -> V_in=0.9970 pu, I_in=331.0000 A, V_out=0.9970 pu, I_out=331.0000 A, V_DT=1.0448 pu, P=109.2983 MW, Q=31.8787 MVar
[2026-05-12 22:19:56] [iter 19] [Bus 2] P/Q/CMD -> V_in=0.9760 pu, I_in=483.6207 A, V_out=0.9760 pu, I_out=483.6207 A, V_DT=1.0444 pu, P=185.6430 MW, Q=61.0179 MVar
[2026-05-12 22:19:56] [iter 19] [Bus 3] P/Q/CMD -> V_in=0.9920 pu, I_in=182.7241 A, V_out=0.9920 pu, I_out=182.7241 A, V_DT=1.0390 pu, P=60.6594 MW, Q=15.2027 MVar
[2026-05-12 22:19:56] [iter 19] [Bus 4] P/Q/CMD -> V_in=1.0020 pu, I_in=407.8966 A, V_out=1.0020 pu, I_out=407.8966 A, V_DT=1.0365 pu, P=152.4272 MW, Q=55.3237 MVar
[2026-05-12 22:19:56] [iter 19] [Bus 5] P/Q/CMD -> V_in=0.9700 pu, I_in=232.2759 A, V_out=0.9700 pu, I_out=232.2759 A, V_DT=1.0384 pu, P=74.6219 MW, Q=21.7647 MVar


